company_name,email,phone,website,location,source,search_term,relevance_score,scraped_at,status_verified,raw_text
Global Spice Traders Ltd,procurement@globalspice.com,+91-9876543210,https://globalspice.com,"Mumbai, India",sample_data,turmeric importer,0.95,2025-07-28T06:10:12.064064,VALID,Leading importer of turmeric and spices from India
Asia Pacific Herbs Import Co,buyers@apherbs.com,+65-98765432,https://apherbs.com,Singapore,sample_data,turmeric buyer,0.92,2025-07-28T06:10:12.064077,VALID,Wholesale importer of organic turmeric powder
European Spice Importers GmbH,info@eurospice.de,+49-123456789,https://eurospice.de,"Hamburg, Germany",sample_data,curcuma importer,0.89,2025-07-28T06:10:12.064079,VALID,Premium turmeric and curcuma powder distributor
American Natural Products Inc,sourcing@amnatural.com,+1-555-123-4567,https://amnatural.com,"Los Angeles, USA",sample_data,turmeric wholesaler,0.87,2025-07-28T06:10:12.064081,VALID,Bulk importer of organic turmeric for health supplements
Mediterranean Spice Trading,purchase@medspice.it,+39-06-12345678,https://medspice.it,"Rome, Italy",sample_data,haldi importer,0.85,2025-07-28T06:10:12.064083,VALID,Mediterranean distributor of Indian spices including turmeric
UK Herbal Imports Limited,buyers@ukherbal.co.uk,+44-20-7123-4567,https://ukherbal.co.uk,"London, UK",sample_data,turmeric powder buyer,0.83,2025-07-28T06:10:12.064085,VALID,Certified organic turmeric importer for UK market
Canadian Spice Distributors,procurement@canspice.ca,+1-416-555-9876,https://canspice.ca,"Toronto, Canada",sample_data,bulk turmeric buyer,0.81,2025-07-28T06:10:12.064087,VALID,Large-scale turmeric importer for Canadian food industry
Australian Natural Ingredients,sourcing@aunatural.com.au,+61-2-9876-5432,https://aunatural.com.au,"Sydney, Australia",sample_data,turmeric extract importer,0.79,2025-07-28T06:10:12.064090,VALID,Premium turmeric extract and powder importer
Nordic Spice Company AS,import@nordicspice.no,+47-22-123-456,https://nordicspice.no,"Oslo, Norway",sample_data,organic turmeric buyer,0.77,2025-07-28T06:10:12.064093,VALID,Scandinavian distributor of organic turmeric products
Middle East Spice Trading LLC,buyers@mespice.ae,+971-4-123-4567,https://mespice.ae,"Dubai, UAE",sample_data,turmeric wholesale importer,0.75,2025-07-28T06:10:12.064096,VALID,Middle East hub for turmeric and spice distribution
Global Spice Traders Ltd Branch 2,procurement1@globalspice.com,+91-9876543210,https://globalspice.com,"Mumbai, India",sample_data,turmeric importer,0.94,2025-07-28T06:10:12.064064,VALID,Leading importer of turmeric and spices from India
Asia Pacific Herbs Import Co Branch 2,buyers1@apherbs.com,+65-98765432,https://apherbs.com,Singapore,sample_data,turmeric buyer,0.91,2025-07-28T06:10:12.064077,VALID,Wholesale importer of organic turmeric powder
European Spice Importers GmbH Branch 2,info1@eurospice.de,+49-123456789,https://eurospice.de,"Hamburg, Germany",sample_data,curcuma importer,0.88,2025-07-28T06:10:12.064079,VALID,Premium turmeric and curcuma powder distributor
